origin,utc,name,n_cells,mean_mm,max_mm,coverage,eta_area,eta_first,reliable
1790303400,2026-09-25T02:30:00Z,Phra Nakhon Si Ayutthaya,14,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Ang Thong,134,0.001,0.098,0.0075,,15,True
1790303400,2026-09-25T02:30:00Z,Lopburi,1632,0.005,0.299,0.038,,30,True
1790303400,2026-09-25T02:30:00Z,Sing Buri,199,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Chainat,627,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Saraburi,476,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Nakhon Ratchasima,2994,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Chaiyaphum,3180,0.004,0.299,0.0236,,15,True
1790303400,2026-09-25T02:30:00Z,Nong Bua Lamphu,870,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Khon Kaen,882,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Udon Thani,518,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Loei,2624,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Chiang Mai,3187,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Lamphun,1122,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Lampang,2813,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Uttaradit,1973,0.001,0.201,0.0096,,15,True
1790303400,2026-09-25T02:30:00Z,Phrae,1636,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Nan,1766,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Phayao,125,0.0,0.0,0.0,,,True
1790303400,2026-09-25T02:30:00Z,Nakhon Sawan,2390,0.018,1.103,0.0669,,15,True
1790303400,2026-09-25T02:30:00Z,Uthai Thani,1670,0.038,1.103,0.2293,30,15,True
1790303400,2026-09-25T02:30:00Z,Kamphaeng Phet,2141,0.023,0.946,0.1294,105,15,True
1790303400,2026-09-25T02:30:00Z,Tak,4259,0.037,1.216,0.1601,45,15,True
1790303400,2026-09-25T02:30:00Z,Sukhothai,1668,0.001,0.201,0.0096,,90,True
1790303400,2026-09-25T02:30:00Z,Phitsanulok,2660,0.005,0.201,0.0421,,15,True
1790303400,2026-09-25T02:30:00Z,Phichit,1081,0.068,0.598,0.3127,15,15,True
1790303400,2026-09-25T02:30:00Z,Phetchabun,3098,0.01,0.495,0.062,,15,True
1790303400,2026-09-25T02:30:00Z,Kanchanaburi,2330,0.025,0.609,0.1455,45,15,True
1790303400,2026-09-25T02:30:00Z,Suphan Buri,739,0.002,0.098,0.0176,,15,True
