origin,utc,name,n_cells,mean_mm,max_mm,coverage,eta_area,eta_first,reliable
1790289900,2026-09-24T22:45:00Z,บ้านนา,1,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,บ้านแพรก,1,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,บ้านใหม่,2,0.098,0.098,1.0,45,45,False
1790289900,2026-09-24T22:45:00Z,สำพะเนียง,2,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,คลองน้อย,1,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,สองห้อง,4,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,ศาลาแดง,0,,,,,,False
1790289900,2026-09-24T22:45:00Z,ป่างิ้ว,2,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,ตลาดกรวด,2,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,บ้านรี,1,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,ย่านซื่อ,1,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,จรเข้ร้อง,2,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,ไชยภูมิ,2,0.248,0.299,1.0,45,45,False
1790289900,2026-09-24T22:45:00Z,ชัยฤทธิ์,3,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,เทวราช,3,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,ราชสถิตย์,2,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,ไชโย,3,0.165,0.299,0.6667,45,45,False
1790289900,2026-09-24T22:45:00Z,หลักฟ้า,2,0.299,0.299,1.0,45,45,False
1790289900,2026-09-24T22:45:00Z,ชะไว,1,0.196,0.196,1.0,45,45,False
1790289900,2026-09-24T22:45:00Z,ตรีณรงค์,1,0.0,0.0,0.0,,,False
1790289900,2026-09-24T22:45:00Z,อ่างแก้ว,2,0.199,0.299,1.0,60,60,False
1790289900,2026-09-24T22:45:00Z,อินทประมูล,4,0.049,0.098,0.5,60,60,False
1790289900,2026-09-24T22:45:00Z,บางพลับ,2,0.098,0.196,0.5,60,60,False
1790289900,2026-09-24T22:45:00Z,หนองแม่ไก่,4,0.339,0.577,1.0,60,60,False
1790289900,2026-09-24T22:45:00Z,รำมะสัก,9,0.632,1.044,1.0,15,15,True
1790289900,2026-09-24T22:45:00Z,บางระกำ,2,0.098,0.098,1.0,60,60,False
